Product,Brand,Pack size,COST (supplier),NEW PRICE (mid-market),Suggested 'was' price,PROFIT per bag,Margin % of sale,Mark-up on cost,Pet Zone BD,Pet Elements BD,Miki Pet Store,SB Pet Shop,AmarPet,BD Pet Mart,Mew Mew Shop BD,Pet Town BD,Pure Pets Food,Arogga,Rokomari,Daraz (marketplace),Cheapest rival,Market median,Most expensive,Shops we'd undercut
"Reflex Plus Kitten, Chicken",Reflex Plus,1.5 kg,৳840,"৳1,050","৳1,310",৳210,20%,25%,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050",৳850,"৳1,050","৳1,150",,,,"৳1,999",৳850,"৳1,050","৳1,999",4 of 9
"Reflex Plus Kitten, Chicken",Reflex Plus,8 kg,"৳3,800","৳4,680","৳5,380",৳880,19%,23%,"৳4,750","৳4,500","৳4,800","৳5,100","৳4,499","৳4,600",,,,,,,"৳4,499","৳4,675","৳5,100",3 of 6
"Reflex Plus Kitten, Chicken",Reflex Plus,15 kg,"৳6,100","৳7,300","৳8,400","৳1,200",16%,20%,"৳7,200","৳7,300","৳7,500","৳7,990",,"৳6,999",,,,,,,"৳6,999","৳7,300","৳7,990",2 of 5
"Reflex Plus Adult, Chicken",Reflex Plus,400 g,৳240,৳300,৳340,৳60,20%,25%,৳300,,,,৳299,,,,,,,,৳299,৳300,৳300,0 of 2
"Reflex Plus Adult, Chicken",Reflex Plus,1.5 kg,৳840,"৳1,140","৳1,420",৳300,26%,36%,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050",৳850,"৳1,050","৳1,300","৳1,300","৳1,194","৳1,399","৳1,450",৳850,"৳1,142","৳1,450",6 of 12
"Reflex Plus Adult, Chicken",Reflex Plus,15 kg,"৳6,100","৳7,280","৳8,370","৳1,180",16%,19%,"৳7,200","৳7,300","৳7,500","৳7,990","৳7,280","৳6,999",,"৳6,950",,,,,"৳6,950","৳7,280","৳7,990",3 of 7
"Reflex Plus Adult, Urinary Chicken",Reflex Plus,1.5 kg,৳840,"৳1,050","৳1,210",৳210,20%,25%,"৳1,050","৳1,050","৳1,090","৳1,150","৳1,050",৳850,,,,,,,৳850,"৳1,050","৳1,150",2 of 6
"Reflex Plus Adult, Urinary Chicken",Reflex Plus,15 kg,"৳6,100","৳7,350","৳8,450","৳1,250",17%,20%,"৳7,200",,"৳7,500",,,,,,,,,,"৳7,200","৳7,350","৳7,500",1 of 2
"Reflex Plus Adult, Hairball Salmon",Reflex Plus,1.5 kg,৳840,"৳1,070","৳1,200",৳230,22%,27%,"৳1,050","৳1,050","৳1,090","৳1,150","৳1,050","৳1,200",,,,,,,"৳1,050","৳1,070","৳1,200",3 of 6
"Reflex Plus Adult, Hairball Salmon",Reflex Plus,15 kg,"৳6,100","৳7,000","৳8,050",৳900,13%,15%,"৳7,200",,,"৳6,800",,,,,,,,,"৳6,800","৳7,000","৳7,200",1 of 2
"Reflex Plus Kitten, Salmon",Reflex Plus,1.5 kg,৳840,"৳1,090","৳1,250",৳250,23%,30%,"৳1,050","৳1,050","৳1,090","৳1,250",,"৳1,200",,,,,,,"৳1,050","৳1,090","৳1,250",2 of 5
Reflex Plus Mother & Baby,Reflex Plus,1.5 kg,৳840,"৳1,090","৳1,360",৳250,23%,30%,"৳1,050","৳1,050","৳1,090",,"৳1,050","৳1,200",,,,"৳1,116",,"৳1,600","৳1,050","৳1,090","৳1,600",3 of 7
Reflex Plus Mother & Baby,Reflex Plus,8 kg,"৳3,800","৳4,680","৳5,620",৳880,19%,23%,,,,,,,,,,,,,,,,Nobody else sells it
"Reflex Plus Sterilised, Chicken",Reflex Plus,1.5 kg,৳840,"৳1,090","৳1,250",৳250,23%,30%,"৳1,050",,"৳1,090","৳1,150",,,,,,,,,"৳1,050","৳1,090","৳1,150",1 of 3
"Reflex Plus Sterilised, Chicken",Reflex Plus,15 kg,"৳6,100","৳7,290","৳8,750","৳1,190",16%,20%,,,,,,,,,,,,,,,,Nobody else sells it
"Reflex Plus Adult, Skin & Coat Salmon",Reflex Plus,1.5 kg,৳840,"৳1,090","৳1,360",৳250,23%,30%,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050","৳1,200",,,,,,"৳1,545","৳1,050","৳1,090","৳1,545",3 of 7
"Reflex Plus Adult, Choosy Salmon",Reflex Plus,1.5 kg,৳840,"৳1,140","৳1,310",৳300,26%,36%,"৳1,050",,"৳1,090","৳1,250",,"৳1,200",,,,,,,"৳1,050","৳1,145","৳1,250",2 of 4
"Prostar Adult, Chicken",Prostar,15 kg,"৳4,100","৳5,050","৳5,810",৳950,19%,23%,"৳4,900","৳5,200",,,,,,,,,,,"৳4,900","৳5,050","৳5,200",1 of 2
"Prostar Kitten, Chicken",Prostar,15 kg,"৳4,100","৳4,900","৳5,640",৳800,16%,20%,"৳4,900",,,,,,,,,,,,"৳4,900","৳4,900","৳4,900",0 of 1
"Prostar Sterilised, Salmon (Adult & Kitten)",Prostar,1.2 kg,৳370,৳480,৳550,৳110,23%,30%,৳480,৳470,,,,,,,,,,,৳470,৳475,৳480,0 of 2
"Prostar Adult Sterilised, Salmon",Prostar,1.2 kg,৳370,৳480,৳550,৳110,23%,30%,৳480,৳470,,,,,,,,,,,৳470,৳475,৳480,0 of 2
