Product,Brand,Pack size,Role,COST (supplier),PRICE,Suggested 'was' price,Gross profit,Mark-up on cost,Margin % of sale,Profit per order (after delivery),Break-even ROAS,Pet Zone BD,Pet Elements BD,Miki Pet Store,SB Pet Shop,AmarPet,BD Pet Mart,Mew Mew Shop BD,Pet Town BD,Pure Pets Food,Arogga,Rokomari,Daraz (marketplace),Cheapest rival,Market median,Most expensive,Where our price sits
"Reflex Plus Kitten, Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,370",৳350,42%,29%,৳246,4.8x,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050",৳850,"৳1,050","৳1,150",,,,"৳1,999",৳850,"৳1,050","৳1,999",Dearer than 7 of 9
"Reflex Plus Kitten, Chicken",Reflex Plus,8 kg,Bulk,"৳3,800","৳4,850","৳5,580","৳1,050",28%,22%,৳780,6.2x,"৳4,750","৳4,500","৳4,800","৳5,100","৳4,499","৳4,600",,,,,,,"৳4,499","৳4,675","৳5,100",Dearer than 5 of 6
"Reflex Plus Kitten, Chicken",Reflex Plus,15 kg,Bulk,"৳6,100","৳7,600","৳8,740","৳1,500",25%,20%,"৳1,108",6.9x,"৳7,200","৳7,300","৳7,500","৳7,990",,"৳6,999",,,,,,,"৳6,999","৳7,300","৳7,990",Dearer than 4 of 5
"Reflex Plus Adult, Chicken",Reflex Plus,400 g,"ADD-ON ONLY, never advertised",৳240,৳320,৳370,৳80,33%,25%,n/a,n/a,৳300,,,,৳299,,,,,,,,৳299,৳300,৳300,Dearer than 2 of 2
"Reflex Plus Adult, Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,370",৳350,42%,29%,৳246,4.8x,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050",৳850,"৳1,050","৳1,300","৳1,300","৳1,194","৳1,399","৳1,450",৳850,"৳1,142","৳1,450",Dearer than 6 of 12
"Reflex Plus Adult, Chicken",Reflex Plus,15 kg,Bulk,"৳6,100","৳7,600","৳8,740","৳1,500",25%,20%,"৳1,108",6.9x,"৳7,200","৳7,300","৳7,500","৳7,990","৳7,280","৳6,999",,"৳6,950",,,,,"৳6,950","৳7,280","৳7,990",Dearer than 6 of 7
"Reflex Plus Adult, Urinary Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,370",৳350,42%,29%,৳246,4.8x,"৳1,050","৳1,050","৳1,090","৳1,150","৳1,050",৳850,,,,,,,৳850,"৳1,050","৳1,150",Dearer than 6 of 6
"Reflex Plus Adult, Urinary Chicken",Reflex Plus,15 kg,Bulk,"৳6,100","৳7,600","৳8,740","৳1,500",25%,20%,"৳1,108",6.9x,"৳7,200",,"৳7,500",,,,,,,,,,"৳7,200","৳7,350","৳7,500",Dearer than 2 of 2
"Reflex Plus Adult, Hairball Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,370",৳350,42%,29%,৳246,4.8x,"৳1,050","৳1,050","৳1,090","৳1,150","৳1,050","৳1,200",,,,,,,"৳1,050","৳1,070","৳1,200",Dearer than 5 of 6
"Reflex Plus Adult, Hairball Salmon",Reflex Plus,15 kg,Bulk,"৳6,100","৳7,600","৳8,740","৳1,500",25%,20%,"৳1,108",6.9x,"৳7,200",,,"৳6,800",,,,,,,,,"৳6,800","৳7,000","৳7,200",Dearer than 2 of 2
"Reflex Plus Kitten, Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,370",৳350,42%,29%,৳246,4.8x,"৳1,050","৳1,050","৳1,090","৳1,250",,"৳1,200",,,,,,,"৳1,050","৳1,090","৳1,250",Dearer than 3 of 5
Reflex Plus Mother & Baby,Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,370",৳350,42%,29%,৳246,4.8x,"৳1,050","৳1,050","৳1,090",,"৳1,050","৳1,200",,,,"৳1,116",,"৳1,600","৳1,050","৳1,090","৳1,600",Dearer than 5 of 7
Reflex Plus Mother & Baby,Reflex Plus,8 kg,"MONOPOLY, nobody else sells it","৳3,800","৳5,200","৳5,980","৳1,400",37%,27%,"৳1,075",4.8x,,,,,,,,,,,,,,,,No competitor sells it
"Reflex Plus Sterilised, Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,370",৳350,42%,29%,৳246,4.8x,"৳1,050",,"৳1,090","৳1,150",,,,,,,,,"৳1,050","৳1,090","৳1,150",Dearer than 3 of 3
"Reflex Plus Sterilised, Chicken",Reflex Plus,15 kg,"MONOPOLY, nobody else sells it","৳6,100","৳8,200","৳9,430","৳2,100",34%,26%,"৳1,613",5.1x,,,,,,,,,,,,,,,,No competitor sells it
"Reflex Plus Adult, Skin & Coat Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,370",৳350,42%,29%,৳246,4.8x,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050","৳1,200",,,,,,"৳1,545","৳1,050","৳1,090","৳1,545",Dearer than 4 of 7
"Reflex Plus Adult, Choosy Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,370",৳350,42%,29%,৳246,4.8x,"৳1,050",,"৳1,090","৳1,250",,"৳1,200",,,,,,,"৳1,050","৳1,145","৳1,250",Dearer than 2 of 4
"Prostar Adult, Chicken",Prostar,15 kg,Bulk,"৳4,100","৳5,400","৳6,210","৳1,300",32%,24%,৳957,5.6x,"৳4,900","৳5,200",,,,,,,,,,,"৳4,900","৳5,050","৳5,200",Dearer than 2 of 2
"Prostar Kitten, Chicken",Prostar,15 kg,Bulk,"৳4,100","৳5,400","৳6,210","৳1,300",32%,24%,৳957,5.6x,"৳4,900",,,,,,,,,,,,"৳4,900","৳4,900","৳4,900",Dearer than 1 of 1
