Product,Brand,Pack size,Role,COST (supplier),PRICE,'Was' price,Who publishes that 'was',Discount shown,Gross profit,Gross margin,Mark-up on cost,Contribution per order,Contribution margin,Break-even ROAS,Who pays delivery,Pet Zone BD,Pet Elements BD,Miki Pet Store,SB Pet Shop,AmarPet,BD Pet Mart,Mew Mew Shop BD,Pet Town BD,Pure Pets Food,Arogga,Rokomari,Daraz (marketplace),Cheapest rival,Market median,Highest genuine selling price,Where our price sits
"Reflex Plus Kitten, Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,500",SB Pet Shop,21%,৳350,29%,42%,৳246,21%,4.8x,Customer pays,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050",৳850,"৳1,050","৳1,150",,,,"৳1,999",৳850,"৳1,050","৳1,250",Dearer than 7 of 9
"Reflex Plus Kitten, Chicken",Reflex Plus,8 kg,Bulk,"৳3,800","৳4,850","৳6,000",SB Pet Shop,19%,"৳1,050",22%,28%,৳780,16%,6.2x,"WE PAY, order clears ৳2,500","৳4,750","৳4,500","৳4,800","৳5,100","৳4,499","৳4,600",,,,,,,"৳4,499","৳4,675","৳5,100",Dearer than 5 of 6
"Reflex Plus Kitten, Chicken",Reflex Plus,15 kg,Bulk,"৳6,100","৳7,600","৳9,500",SB Pet Shop,20%,"৳1,500",20%,25%,"৳1,108",15%,6.9x,"WE PAY, order clears ৳2,500","৳7,200","৳7,300","৳7,500","৳7,990",,"৳6,999",,,,,,,"৳6,999","৳7,300","৳7,990",Dearer than 4 of 5
"Reflex Plus Adult, Chicken",Reflex Plus,400 g,"ADD-ON ONLY, never advertised",৳240,৳320,৳350,Pet Zone BD,9%,৳80,25%,33%,n/a,n/a,n/a,Customer pays,৳300,,,,৳299,,,,,,,,৳299,৳300,৳300,Dearer than 2 of 2
"Reflex Plus Adult, Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,500",SB Pet Shop,21%,৳350,29%,42%,৳246,21%,4.8x,Customer pays,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050",৳850,"৳1,050","৳1,300","৳1,300","৳1,194","৳1,399","৳1,450",৳850,"৳1,142","৳1,399",Dearer than 6 of 12
"Reflex Plus Adult, Chicken",Reflex Plus,15 kg,Bulk,"৳6,100","৳7,600","৳9,500",SB Pet Shop,20%,"৳1,500",20%,25%,"৳1,108",15%,6.9x,"WE PAY, order clears ৳2,500","৳7,200","৳7,300","৳7,500","৳7,990","৳7,280","৳6,999",,"৳6,950",,,,,"৳6,950","৳7,280","৳7,990",Dearer than 6 of 7
"Reflex Plus Adult, Urinary Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,500",SB Pet Shop,21%,৳350,29%,42%,৳246,21%,4.8x,Customer pays,"৳1,050","৳1,050","৳1,090","৳1,150","৳1,050",৳850,,,,,,,৳850,"৳1,050","৳1,150",Dearer than 6 of 6
"Reflex Plus Adult, Urinary Chicken",Reflex Plus,15 kg,Bulk,"৳6,100","৳7,600","৳9,500",SB Pet Shop,20%,"৳1,500",20%,25%,"৳1,108",15%,6.9x,"WE PAY, order clears ৳2,500","৳7,200",,"৳7,500",,,,,,,,,,"৳7,200","৳7,350","৳7,500",Dearer than 2 of 2
"Reflex Plus Adult, Hairball Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,500",SB Pet Shop,21%,৳350,29%,42%,৳246,21%,4.8x,Customer pays,"৳1,050","৳1,050","৳1,090","৳1,150","৳1,050","৳1,200",,,,,,,"৳1,050","৳1,070","৳1,200",Dearer than 5 of 6
"Reflex Plus Adult, Hairball Salmon",Reflex Plus,15 kg,Bulk,"৳6,100","৳7,600","৳9,500",SB Pet Shop,20%,"৳1,500",20%,25%,"৳1,108",15%,6.9x,"WE PAY, order clears ৳2,500","৳7,200",,,"৳6,800",,,,,,,,,"৳6,800","৳7,000","৳7,200",Dearer than 2 of 2
