Product,Brand,Pack size,Role,COST (supplier),PRICE,'Was' price,Discount shown,Gross profit,Gross margin,Mark-up on cost,Parcel kg,Carrier,Our delivery cost,Customer pays,Contribution per order,Contribution margin,Break-even ROAS,Pet Zone BD,Pet Elements BD,Miki Pet Store,SB Pet Shop,AmarPet,BD Pet Mart,Mew Mew Shop BD,Pet Town BD,Pure Pets Food,Arogga,Rokomari,Daraz (marketplace),Cheapest rival,Market median,Highest genuine selling price,Where our price sits
"Reflex Plus Kitten, Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,1.5,RedX,৳80,৳70,৳254,21.3%,4.7x,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050",৳850,"৳1,050","৳1,150",,,,"৳1,999",৳850,"৳1,050","৳1,250",Dearer than 7 of 9
"Reflex Plus Kitten, Chicken",Reflex Plus,8 kg,"Bulk, not advertised","৳3,800","৳4,850","৳5,900",17.8%,"৳1,050",22%,28%,8.0,Our own rider,৳250,৳150,৳871,18.0%,5.6x,"৳4,750","৳4,500","৳4,800","৳5,100","৳4,499","৳4,600",,,,,,,"৳4,499","৳4,675","৳5,100",Dearer than 5 of 6
"Reflex Plus Kitten, Chicken",Reflex Plus,15 kg,"Bulk, NOT advertised","৳6,100","৳7,600","৳9,250",17.8%,"৳1,500",20%,25%,15.0,Our own rider,৳250,৳150,"৳1,298",17.1%,5.9x,"৳7,200","৳7,300","৳7,500","৳7,990",,"৳6,999",,,,,,,"৳6,999","৳7,300","৳7,990",Dearer than 4 of 5
"Reflex Plus Adult, Chicken",Reflex Plus,400 g,ADD-ON ONLY,৳240,৳320,৳390,18.0%,৳80,25%,33%,0.4,RedX,৳65,৳70,৳41,12.7%,7.9x,৳300,,,,৳299,,,,,,,,৳299,৳300,৳300,Dearer than 2 of 2
"Reflex Plus Adult, Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,1.5,RedX,৳80,৳70,৳254,21.3%,4.7x,"৳1,050","৳1,050","৳1,090","৳1,250","৳1,050",৳850,"৳1,050","৳1,300","৳1,300","৳1,194","৳1,399","৳1,450",৳850,"৳1,142","৳1,399",Dearer than 6 of 12
"Reflex Plus Adult, Chicken",Reflex Plus,15 kg,"Bulk, NOT advertised","৳6,100","৳7,600","৳9,250",17.8%,"৳1,500",20%,25%,15.0,Our own rider,৳250,৳150,"৳1,298",17.1%,5.9x,"৳7,200","৳7,300","৳7,500","৳7,990","৳7,280","৳6,999",,"৳6,950",,,,,"৳6,950","৳7,280","৳7,990",Dearer than 6 of 7
"Reflex Plus Adult, Urinary Chicken",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,1.5,RedX,৳80,৳70,৳254,21.3%,4.7x,"৳1,050","৳1,050","৳1,090","৳1,150","৳1,050",৳850,,,,,,,৳850,"৳1,050","৳1,150",Dearer than 6 of 6
"Reflex Plus Adult, Urinary Chicken",Reflex Plus,15 kg,"Bulk, NOT advertised","৳6,100","৳7,600","৳9,250",17.8%,"৳1,500",20%,25%,15.0,Our own rider,৳250,৳150,"৳1,298",17.1%,5.9x,"৳7,200",,"৳7,500",,,,,,,,,,"৳7,200","৳7,350","৳7,500",Dearer than 2 of 2
"Reflex Plus Adult, Hairball Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,1.5,RedX,৳80,৳70,৳254,21.3%,4.7x,"৳1,050","৳1,050","৳1,090","৳1,150","৳1,050","৳1,200",,,,,,,"৳1,050","৳1,070","৳1,200",Dearer than 5 of 6
"Reflex Plus Adult, Hairball Salmon",Reflex Plus,15 kg,"Bulk, NOT advertised","৳6,100","৳7,600","৳9,250",17.8%,"৳1,500",20%,25%,15.0,Our own rider,৳250,৳150,"৳1,298",17.1%,5.9x,"৳7,200",,,"৳6,800",,,,,,,,,"৳6,800","৳7,000","৳7,200",Dearer than 2 of 2
